NAME,TEXT,A_pos,A_img,A_Face,A_Size,B_pos,B_img,B_Face,B_Size,C_pos,C_img,C_Face,C_Size,BGNumber,BGEffect,BGEtc,OtherEvent,etc,BGM,EffectSound,voice
,중학교 시절...,,,,,,,,,,,,,,,,Cut0,,,,
,가끔 내 옆에 머물던 여자애가 있었다.,,,,,,,,,,,,,,,,,,,,
,내 감정도 알아주고,,,,,,,,,,,,,,,,Cut1,,,,
,내 감정도 알아주고,,,,,,,,,,,,,,,,Cut2,,,,
,먹을 것도 주고...,,,,,,,,,,,,,,,,Cut3,,,,
,먹을 것도 주고...,,,,,,,,,,,,,,,,Cut4,,,,
,내 위생 상태도 신경 써주는...,,,,,,,,,,,,,,,,Cut5,,,,
,내 위생 상태도 신경 써주는...,,,,,,,,,,,,,,,,Cut6,,,,
,그런...,,,,,,,,,,,,,,,,,,,,
,여자애가 있었지.,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,-1,,,
,젠장!,,,,,,,,,,,,,,,,,,,,
,기껏 있는 현실 여자와의 추억이 이런 거라니...,,,,,,,,,,,,,,,,,,,,
현수,에잇! 배달이나 마저 끝내자.,,,,,,,,,,,,,,,,,,,,
,신호가 바뀌며 난 오토바이 레버를 당길 준비를 했다.,,,,,,,,,,,,,,,,,,,,
현수,!!,,,,,,,,,,,,,0,Fadein,,,,,Brrr,
현수,어어어!!!,,,,,,,,,,,,,1,Fadein,,CarLight,,,,
,콰아앙!!!,,,,,,,,,,,,,,,,CarLight,,StopBGM,CarCrash,
,(털썩),,,,,,,,,,,,,,,,,,,Rain_loop,
현수,뭐... 뭐야...,,,,,,,,,,,,,0,Fadein,,,,,,
,,,,,,,,,,,,,,3,EyesOpen,,,,,,
,온몸을 때리는 빗방울의 차가움에 눈이 떠졌다.,,,,,,,,,,,,,,,,,,,,
,눈을 뜨니 바닥에 널브러진 치킨 조각들이 보였다.,,,,,,,,,,,,,,,,,,,,
현수,아- 안돼!! 치킨...!!!,,,,,,,,,,,,,,,,,,,,
,헬멧부터 벗어던지고 치킨을 주워 담으려 했지만,,,,,,,,,,,,,,,,,,,,
,몸이 쉽게 말을 듣지 않는다...,,,,,,,,,,,,,,,,,,,,
,아... 배달 늦으면 또 리뷰 테러 당할 텐데...,,,,,,,,,,,,,,,,,,,,
현수,망했다...,,,,,,,,,,,,,,,,,,,,
???,저기요...,,,,,,,,,,,,,,,,,,,,B01
,들려오는 낯선 여자의 목소리,,,,,,,,,,,,,,BlurIn,1.75,,,,,
,,,,,,,,,,,,,,4,Fadein,,,,,,
현수,아... ...,,,,,,,,,,,,,,,,,,,,
,벌레라도 본 듯 구겨진 표정의 낯선 여자.,,,,,,,,,,,,,,,,,,,,
,굳이 따지자면...,,,,,,,,,,,,,,,,,,,,
,내 인생은 돈벌레와 같다.,,,,,,,,,,,,,,,,,,,,
,해충도 먹고 사람에게 큰 해도 끼치지 않는 익충이지만,,,,,,,,,,,,,,,,,,,,
,사람들은 돈벌레를 보면 못생겼단 이유만으로 기겁을 한다.,,,,,,,,,,,,,,,,,,,,
,나는 남들보다 조금 더 뚱뚱하고 못생겼을 뿐인데...,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,
,언젠가 대부분의 여자들이 날 보며 저런 표정을 짓는 것을 알았을 때부터,,,,,,,,,,,,,,,,,,,,
,나는 그들의 눈을 잘 마주치지 못했다.,,,,,,,,,,,,,,,,,,,,
,여자는 내 팔을 붙잡고 약하게 흔들었다.,,,,,,,,,,,,,,BlurIn,15,,,,,
???,괜찮아요?,,,,,,,,,,,,,5,BlurIn,15,CloseUp,-400,,,B02
???,마... 많이 다치셨어요? 어떡해,,,,,,,,,,,,,,BlurOut,,,,,,B03
현수,어... ... ...,,,,,,,,,,,,,,,,CloseOut,,,,
,이 표정은...,,,,,,,,,,,,,,,,RainBra,0.1,,,
,경멸이 아니야?,,,,,,,,,,,,,,,,,,,,
,걱정하는 표정?,,,,,,,,,,,,,,,,,,,,
,그것도 곧 울 것만 같이...,,,,,,,,,,,,,,,,RainBra,0.2,,,
,응...? 속옷이 점점 보이는 것 같은데... 착각인가...,,,,,,,,,,,,,,,,,,,,
,아니@ 것보다@,,,,,,,,,,,,,,,,,,,,
,사장님한테 전화부터 하자.,,,,,,,,,,,,,,,,,,,,
현수,포.. 폰이...,,,,,,,,,,,,,,,,RainBra,0.3,,,
???,저... 저기요... 괜찮으세요...? 이@ 일단 병원부터 가요.... 죄송해요. 일어나실 수 있겠어요....? 빨리 119를 불러야 하는데..... 어떡해.....,,,,,,,,,,,,,,,,,,,,B04
,이 사람 뭐 하는 사람이야???,,,,,,,,,,,,,,,,,,,,
,날 이렇게 걱정 해주는 여자 사람은 엄마 이후로 처음인데...,,,,,,,,,,,,,,,,RainBra,0.4,,,
현수,아 저는 괜찮....,,,,,,,,,,,,,,,,,,,,
,어....,,,,,,,,,,,,,,,,,,,,
,왜 말을 끝까지 못하겠지.,,,,,,,,,,,,,,BlurIn,10,RainBra,0.5,,,
,순간@ 시야가 흐릿해진다.,,,,,,,,,,,,,,BlurIn,20,,,,,
???,어 머리에서 피가!! 머@ 머머머리에서 피가 ....!!!!,,,,,,,,,,,,,,BlurIn,30,,,,,B05
,나... 죽는 건가...,,,,,,,,,,,,,,BlurIn,40,RainBra,0.8,,,
,어머니 아버지 죄송해요.,,,,,,,,,,,,,,BlurIn,50,,,,,
,부디 제가 갖고 있는 외장하드는 전자렌지에 튀긴 다음@ 구멍 뚫어서 저랑 같이 묻어주세요.,,,,,,,,,,,,,,BlurIn,50,RainBra,1,,,
,내 의식이 점차 희미해져...응?,,,,,,,,,,,,,6,BlurIn,50,RainBra,0,,,
,물에 젖어 얇은 옷 너머로 점점 또렷하게 보이는 엄청난 이건...,,,,,,,,,,,,,,BlurOut,,CloseUp,500,,Sanctus_loop,
,인생 마지막 집중력이 이런 것입니까...,,,,,,,,,,,,,,,,,,,,
,아아@ 요캇타...,,,,,,,,,,,,,,,,Slowtyping,0.25,,,
,(털썩),,,,,,,,,,,,,,,,CloseOut,,,,
???,어머! 코... 코에서도 피가!!!,,,,,,,,,,,,,,EyesClose,,,,,,B06
End,,,,,,,,,,,,,,0,,,U,,,,
